inventory_id,product_id,stock_remaining,warehouse_id,restock_date
115,115,158,8,3/2/2025
116,116,118,4,1/19/2025
117,117,440,10,2/3/2025
118,118,467,6,2/20/2025
119,119,93,6,2/11/2025
120,120,232,8,1/4/2025
121,121,33,8,1/15/2025
122,122,179,8,3/1/2025
123,123,433,3,2/6/2025
124,124,393,6,3/19/2025
125,125,294,3,3/7/2025
126,126,52,7,1/14/2025
127,127,166,9,3/25/2025
128,128,36,5,3/10/2025
129,129,236,7,3/17/2025
130,130,211,4,3/21/2025
131,131,124,9,1/21/2025
132,132,498,8,2/19/2025
133,133,33,6,1/27/2025
134,134,416,10,2/25/2025
135,135,401,7,3/14/2025
136,136,403,6,3/11/2025
137,137,355,4,1/23/2025
138,138,339,2,3/15/2025
139,139,428,8,1/15/2025
140,140,303,10,3/1/2025
141,141,166,9,1/13/2025
142,142,420,8,1/23/2025
143,143,157,7,1/9/2025
144,144,306,2,3/29/2025
145,145,416,10,2/18/2025
146,146,167,8,3/24/2025
147,147,338,1,1/12/2025
148,148,111,3,3/16/2025
149,149,462,1,1/19/2025
150,150,338,3,2/27/2025
151,151,272,5,2/19/2025
152,152,315,10,2/27/2025
153,153,100,4,3/29/2025
154,154,449,6,2/8/2025
155,155,291,5,2/25/2025
156,156,367,6,1/12/2025
157,157,298,1,3/20/2025
158,158,261,7,1/17/2025
159,159,436,5,1/8/2025
160,160,189,9,1/7/2025
161,161,0,9,2/15/2025
162,162,56,5,1/4/2025
163,163,120,7,3/31/2025
164,164,302,7,3/22/2025
165,165,162,7,2/21/2025
166,166,195,7,3/11/2025
167,167,108,3,3/2/2025
168,168,71,4,3/13/2025
169,169,196,6,2/23/2025
170,170,78,5,3/27/2025
171,171,64,3,1/2/2025
172,172,36,1,1/19/2025
173,173,369,8,3/26/2025
174,174,223,3,1/11/2025
175,175,70,7,2/28/2025
176,176,457,10,2/24/2025
177,177,319,3,2/28/2025
178,178,260,7,3/12/2025
179,179,419,8,2/19/2025
180,180,181,4,1/24/2025
181,181,217,10,1/1/2025
182,182,295,8,1/31/2025
183,183,364,9,2/4/2025
184,184,210,9,3/15/2025
185,185,187,1,1/5/2025
186,186,290,8,2/17/2025
187,187,57,10,3/3/2025
188,188,492,2,1/19/2025
189,189,373,9,2/5/2025
190,190,238,9,1/11/2025
191,191,267,10,1/12/2025
192,192,125,8,3/22/2025
193,193,379,2,3/29/2025
194,194,324,9,3/16/2025
195,195,159,10,1/7/2025
196,196,462,6,3/10/2025
197,197,398,1,3/2/2025
198,198,232,9,3/2/2025
199,199,293,6,2/23/2025
200,200,180,5,2/7/2025
